,db_100,db_101,db_102,db_103
736,1.0,2.0,1.0,2.0
737,0.0,1.0,2.0,3.0
738,0.0,1.0,2.0,4.0
739,0.0,2.0,2.0,4.0
740,0.0,3.0,2.0,5.0
741,0.0,3.0,2.0,5.0
742,1.0,4.0,2.0,5.0
743,1.0,4.0,2.0,6.0
744,2.0,4.0,2.0,6.0
745,2.0,4.0,2.0,6.0
746,2.0,4.0,2.0,6.0
747,2.0,4.0,4.0,7.0
748,2.0,4.0,4.0,7.0
749,2.0,4.0,4.0,7.0
750,2.0,4.0,4.0,7.0
751,3.0,1.0,3.0,4.0
752,1.0,0.0,3.0,4.0
753,0.0,0.0,4.0,2.0
754,0.0,0.0,4.0,2.0
755,0.0,0.0,3.0,2.0
756,0.0,0.0,2.0,3.0
757,1.0,1.0,1.0,2.0
758,2.0,1.0,0.0,2.0
759,1.0,1.0,1.0,3.0
760,1.0,0.0,1.0,2.0
761,1.0,0.0,1.0,2.0
762,2.0,0.0,0.0,1.0
763,2.0,0.0,0.0,2.0
764,2.0,0.0,0.0,2.0
765,2.0,0.0,0.0,2.0
766,2.0,0.0,0.0,2.0
767,2.0,1.0,0.0,2.0
768,2.0,1.0,0.0,3.0
769,2.0,1.0,0.0,3.0
